19.8496;4.1219;0;0;0;0;4.39319;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.18586;8.16137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64.8406;0;
0;11.1132;0;0;0;0;0;0;0;0;53.7179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.464062;0;0;0;0;0;0;0;0;43.1221;15.7125;0;0;0;0;0;0;0;0;0;0;0;9.48939;0;24.7092;0;0;0;
0;0;0;0;0.90408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.40609;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
0;0;0;0;0;0;0;0;0;76.3099;0;0;0;24.0395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.09454;0;0;28.313;0;0;0;0;0;0;0;0;0;0;0;0;70.6695;
0;0;0;0;0;0;0;0;0;46.8967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5617;0;0;17.4066;0;0;0;0;0;0;0;0;0;0;0;0;7.4216;0;0;0;15.6649;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.2098;0;0;0;0;0;83.2647;0;0;0;33.8725;0;0;0;0;85.102;0;100.043;0;0;0;10.8098;0;15.9898;0;0;0;0;0;38.5902;
0;0;24.8951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.8258;35.5705;0;0;0;0;0;0;0;0;0;0;0;0;0;107.714;0;31.4021;0;0;48.0179;0;0;0;0;
0;0;0;0;0;0;0;8.4298;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.3409;0;0;0;0;0;0;0;0;2.51958;0;0;24.6365;36.2265;33.8145;0;0;0;0;0;0;0;0;0;3.80153;0;0;0;0;0;4.4034;
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.6827;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.1362;0;0;0;0;0;0;0;0;0;17.4474;0;3.93652;0;0;0;0;0;0;0;0;
