    2.69648e+01;    2.56734e+01;    2.94540e+01;    3.24386e+01;    3.05473e+01;    3.25732e+01;    2.42793e+01;    2.15222e+01;    2.64324e+01;    2.86853e+01;    2.77486e+01;    2.41281e+01;    2.43299e+01;    2.72433e+01;    2.05986e+01;    2.48519e+01;    2.23514e+01;    2.46597e+01;    2.59805e+01;    3.37631e+01;    2.42814e+01;    2.40091e+01;    2.34121e+01;    2.80543e+01;    2.10772e+01;    2.08453e+01;    2.11973e+01;    2.43553e+01;    2.58697e+01;    2.30464e+01;    2.84336e+01;    3.00314e+01;    3.26816e+01;    3.55412e+01;    3.37780e+01;    2.92813e+01;    3.35429e+01;    3.44559e+01;    3.29578e+01;    3.88957e+01;    3.68099e+01;    3.48691e+01;    4.18213e+01;    4.72513e+01;    4.42827e+01;    4.53411e+01;    4.44540e+01;    3.95498e+01;    4.05345e+01;    3.26607e+01;    3.26976e+01;    3.46726e+01;    3.63793e+01;    3.12083e+01;    2.74131e+01;    2.94831e+01;    3.00132e+01;    2.95844e+01;    2.98389e+01;    3.32278e+01;    3.37328e+01;    3.34019e+01;    3.92129e+01;    2.71317e+01;    2.69648e+01
    2.80424e+01;    3.04980e+01;    2.45088e+01;    2.74298e+01;    2.99056e+01;    3.17228e+01;    2.86222e+01;    2.61569e+01;    2.50258e+01;    2.75116e+01;    3.01546e+01;    2.81029e+01;    2.44324e+01;    2.69397e+01;    1.93661e+01;    2.70502e+01;    2.04007e+01;    2.11853e+01;    2.60102e+01;    2.93553e+01;    2.57522e+01;    3.00331e+01;    2.47720e+01;    2.77739e+01;    2.13999e+01;    2.06463e+01;    2.11256e+01;    1.87186e+01;    2.59625e+01;    2.14393e+01;    2.60870e+01;    2.87658e+01;    2.73839e+01;    2.86440e+01;    3.15426e+01;    3.50751e+01;    3.16644e+01;    2.95663e+01;    3.81995e+01;    4.05551e+01;    3.65792e+01;    3.86656e+01;    4.24825e+01;    5.14467e+01;    4.63195e+01;    4.34802e+01;    4.46201e+01;    3.82859e+01;    3.50075e+01;    3.49488e+01;    3.62692e+01;    3.51243e+01;    3.07404e+01;    3.10014e+01;    3.21019e+01;    3.13475e+01;    2.37451e+01;    3.36222e+01;    3.25695e+01;    3.54996e+01;    3.07549e+01;    3.44456e+01;    3.66916e+01;    2.36926e+01;    2.70395e+01
    2.94303e+01;    2.48364e+01;    2.69529e+01;    2.65063e+01;    3.33780e+01;    3.09619e+01;    2.51508e+01;    2.92007e+01;    2.63539e+01;    2.24404e+01;    2.44532e+01;    2.61697e+01;    2.29898e+01;    2.25633e+01;    2.44819e+01;    2.35587e+01;    2.26003e+01;    1.87605e+01;    2.34939e+01;    2.84663e+01;    2.65002e+01;    2.63099e+01;    3.05852e+01;    3.00094e+01;    2.15708e+01;    2.36457e+01;    1.76997e+01;    1.90920e+01;    2.45239e+01;    2.44231e+01;    2.62800e+01;    2.51857e+01;    3.08555e+01;    2.83014e+01;    3.35448e+01;    3.65158e+01;    3.58271e+01;    3.84119e+01;    4.49564e+01;    4.45219e+01;    4.20721e+01;    4.25587e+01;    4.60345e+01;    4.96589e+01;    4.87494e+01;    4.30569e+01;    4.14420e+01;    3.49359e+01;    3.40493e+01;    3.10787e+01;    3.56395e+01;    3.31645e+01;    3.35108e+01;    2.72369e+01;    2.90651e+01;    2.70800e+01;    2.66528e+01;    3.15824e+01;    2.95416e+01;    2.75014e+01;    2.58705e+01;    3.31615e+01;    3.22220e+01;    2.99655e+01;    2.82478e+01
    2.96949e+01;    2.78419e+01;    3.12216e+01;    3.19473e+01;    3.53763e+01;    3.08552e+01;    3.22899e+01;    3.06600e+01;    2.80387e+01;    2.96180e+01;    2.54898e+01;    2.57862e+01;    2.60534e+01;    1.66368e+01;    2.35053e+01;    2.76494e+01;    1.85621e+01;    2.21507e+01;    2.45347e+01;    2.27002e+01;    2.58274e+01;    2.70768e+01;    1.89816e+01;    1.88075e+01;    1.71225e+01;    2.05093e+01;    2.25640e+01;    2.10133e+01;    3.03127e+01;    2.77522e+01;    3.13868e+01;    2.93095e+01;    3.29823e+01;    3.08288e+01;    3.30191e+01;    3.75634e+01;    2.98173e+01;    4.04568e+01;    4.12244e+01;    4.78118e+01;    4.25969e+01;    4.42284e+01;    4.11570e+01;    4.47849e+01;    4.97083e+01;    4.84916e+01;    3.81471e+01;    4.02264e+01;    3.88691e+01;    3.54774e+01;    3.99122e+01;    3.30368e+01;    3.09189e+01;    2.81893e+01;    2.90323e+01;    2.44650e+01;    2.89764e+01;    3.36617e+01;    3.36201e+01;    2.56158e+01;    2.72214e+01;    2.61484e+01;    3.14891e+01;    3.06979e+01;    2.65190e+01
    3.18272e+01;    2.80845e+01;    3.24478e+01;    2.67146e+01;    2.96288e+01;    2.79668e+01;    2.83573e+01;    2.46891e+01;    2.86195e+01;    3.16961e+01;    2.62268e+01;    2.31263e+01;    2.27974e+01;    1.92705e+01;    2.33946e+01;    2.78279e+01;    2.49846e+01;    2.63769e+01;    2.34717e+01;    2.89514e+01;    2.63268e+01;    2.43697e+01;    2.02662e+01;    2.09454e+01;    2.02040e+01;    2.44173e+01;    2.38335e+01;    2.22262e+01;    2.38992e+01;    3.01506e+01;    3.13423e+01;    3.53309e+01;    3.22843e+01;    3.59146e+01;    3.75262e+01;    3.91315e+01;    4.13808e+01;    3.93175e+01;    4.32412e+01;    4.62034e+01;    4.57218e+01;    4.23149e+01;    4.21915e+01;    4.54576e+01;    4.51618e+01;    4.53505e+01;    3.71236e+01;    4.33615e+01;    3.94722e+01;    3.51482e+01;    3.12491e+01;    3.49789e+01;    3.46435e+01;    3.25568e+01;    2.43020e+01;    3.14728e+01;    2.87823e+01;    3.50715e+01;    3.56751e+01;    3.52425e+01;    3.15970e+01;    3.21854e+01;    3.04133e+01;    2.79137e+01;    2.32602e+01
    2.82426e+01;    2.35782e+01;    3.28134e+01;    2.89182e+01;    2.93808e+01;    3.04207e+01;    3.25864e+01;    3.14558e+01;    3.07695e+01;    2.88486e+01;    3.30694e+01;    2.23164e+01;    2.72332e+01;    2.17747e+01;    2.86869e+01;    2.24144e+01;    2.51500e+01;    2.21908e+01;    3.02836e+01;    2.75371e+01;    2.73601e+01;    2.54269e+01;    2.21933e+01;    2.56543e+01;    2.36248e+01;    2.71537e+01;    3.46663e+01;    2.79936e+01;    2.77521e+01;    3.48386e+01;    3.45768e+01;    3.58417e+01;    3.69271e+01;    3.68406e+01;    3.86920e+01;    4.20431e+01;    4.79023e+01;    4.20272e+01;    4.19495e+01;    4.04967e+01;    4.06732e+01;    4.23882e+01;    4.47629e+01;    4.76599e+01;    4.14085e+01;    4.17768e+01;    3.45734e+01;    4.08736e+01;    3.57748e+01;    3.46193e+01;    3.35962e+01;    3.46069e+01;    3.32064e+01;    3.15913e+01;    3.16007e+01;    3.13209e+01;    3.53222e+01;    3.17119e+01;    4.03938e+01;    3.49342e+01;    3.97005e+01;    3.92685e+01;    3.23783e+01;    2.29424e+01;    2.68932e+01
    3.10581e+01;    3.03309e+01;    3.26577e+01;    3.20773e+01;    2.72282e+01;    2.92805e+01;    3.03249e+01;    3.44849e+01;    3.28892e+01;    3.32520e+01;    3.50293e+01;    2.94491e+01;    3.51420e+01;    2.84252e+01;    2.54897e+01;    2.10102e+01;    2.36398e+01;    2.26142e+01;    2.06193e+01;    2.53804e+01;    2.90839e+01;    2.62781e+01;    3.13565e+01;    2.93232e+01;    2.70743e+01;    3.34757e+01;    3.16450e+01;    2.39630e+01;    2.88206e+01;    2.77282e+01;    3.55545e+01;    3.48558e+01;    3.85429e+01;    3.19614e+01;    4.09988e+01;    3.87464e+01;    4.06526e+01;    4.11426e+01;    4.40418e+01;    4.59049e+01;    4.30855e+01;    4.29916e+01;    4.70943e+01;    4.55062e+01;    4.38860e+01;    4.12016e+01;    3.57066e+01;    3.76674e+01;    3.84184e+01;    3.95574e+01;    3.70860e+01;    3.55394e+01;    3.44339e+01;    3.69323e+01;    3.93619e+01;    3.87016e+01;    4.05510e+01;    3.88521e+01;    3.66214e+01;    3.44271e+01;    3.83399e+01;    3.91513e+01;    2.82938e+01;    1.99673e+01;    2.33393e+01
    3.28296e+01;    2.75001e+01;    2.76944e+01;    2.60588e+01;    3.01866e+01;    3.08741e+01;    3.29117e+01;    2.78150e+01;    3.04249e+01;    3.63481e+01;    3.35749e+01;    3.66997e+01;    3.21684e+01;    3.01136e+01;    2.65839e+01;    2.60054e+01;    2.26624e+01;    2.43079e+01;    2.27795e+01;    2.19491e+01;    2.80920e+01;    2.36961e+01;    3.24152e+01;    2.67958e+01;    2.62666e+01;    3.36288e+01;    3.25541e+01;    2.84828e+01;    3.03088e+01;    3.57118e+01;    3.72377e+01;    2.81862e+01;    3.03695e+01;    3.39361e+01;    4.03454e+01;    3.95681e+01;    3.97156e+01;    3.83624e+01;    4.27998e+01;    4.21303e+01;    4.33527e+01;    4.65391e+01;    4.55196e+01;    4.43011e+01;    4.02259e+01;    4.13193e+01;    3.56764e+01;    3.35277e+01;    3.73628e+01;    3.66352e+01;    3.55444e+01;    3.00875e+01;    3.99254e+01;    4.36285e+01;    4.26099e+01;    3.55027e+01;    4.04173e+01;    3.66128e+01;    3.86056e+01;    4.08629e+01;    3.95679e+01;    3.29502e+01;    2.72393e+01;    2.73621e+01;    2.55632e+01
    2.68868e+01;    2.61657e+01;    3.16515e+01;    2.43684e+01;    3.25835e+01;    3.55778e+01;    3.80029e+01;    3.28380e+01;    3.21106e+01;    3.34712e+01;    4.00469e+01;    3.52449e+01;    3.06946e+01;    2.78028e+01;    2.48677e+01;    2.83461e+01;    2.84551e+01;    2.45074e+01;    2.19450e+01;    1.70963e+01;    1.55165e+01;    2.52715e+01;    2.23861e+01;    2.50556e+01;    2.87058e+01;    3.11833e+01;    3.20657e+01;    3.52203e+01;    3.14915e+01;    3.87172e+01;    3.85221e+01;    2.91422e+01;    3.17776e+01;    3.25148e+01;    3.61747e+01;    4.27189e+01;    4.52512e+01;    4.16997e+01;    4.11211e+01;    4.11388e+01;    4.60877e+01;    4.00146e+01;    4.43841e+01;    4.74007e+01;    4.46805e+01;    3.76818e+01;    3.79498e+01;    3.63379e+01;    3.75510e+01;    3.46664e+01;    3.35308e+01;    3.83937e+01;    3.52064e+01;    4.51941e+01;    4.55984e+01;    4.39889e+01;    4.24571e+01;    3.37062e+01;    3.59734e+01;    3.61683e+01;    3.61222e+01;    2.98205e+01;    3.13512e+01;    2.81160e+01;    2.88463e+01
    2.84436e+01;    2.90101e+01;    3.06621e+01;    3.16710e+01;    3.53846e+01;    4.16366e+01;    3.56673e+01;    3.40832e+01;    3.43716e+01;    3.04153e+01;    3.69081e+01;    3.42488e+01;    3.34072e+01;    3.19573e+01;    2.36249e+01;    2.77349e+01;    2.85484e+01;    2.88188e+01;    1.84635e+01;    1.91750e+01;    1.69693e+01;    2.04896e+01;    2.18785e+01;    2.79381e+01;    2.93030e+01;    3.86689e+01;    3.65920e+01;    3.34744e+01;    4.21588e+01;    4.13782e+01;    4.27883e+01;    4.28801e+01;    3.90317e+01;    3.61802e+01;    3.19842e+01;    4.03322e+01;    4.13322e+01;    4.34973e+01;    4.25207e+01;    4.19169e+01;    4.22485e+01;    3.84532e+01;    4.25692e+01;    4.01188e+01;    4.09633e+01;    3.91650e+01;    3.37852e+01;    3.97047e+01;    3.72675e+01;    3.82990e+01;    3.06354e+01;    4.10318e+01;    4.29548e+01;    4.18196e+01;    3.67861e+01;    3.73780e+01;    3.19147e+01;    3.14366e+01;    3.02609e+01;    3.12658e+01;    3.89691e+01;    3.19164e+01;    3.35141e+01;    3.27291e+01;    3.29264e+01
