0.100,69.550
0.100,40.830
0.100,64.706
0.100,20.761
0.100,23.529
0.100,64.706
0.100,69.896
0.100,20.069
0.100,65.052
0.100,45.675
0.100,73.010
0.100,37.024
0.100,62.284
0.100,56.401
0.100,56.055
0.100,63.668
0.100,40.138
0.100,56.055
0.100,58.824
0.100,79.239
0.100,77.509
0.100,52.595
0.100,64.706
0.100,75.087
0.100,62.976
0.100,46.367
0.100,67.474
0.100,89.619
0.100,55.709
0.100,86.159
0.100,69.550
0.100,50.173
0.100,45.675
0.100,46.713
0.100,50.519
0.100,49.135
0.100,76.125
0.100,67.474
0.100,34.256
0.100,66.782
0.100,23.183
0.100,38.062
0.100,40.484
0.100,39.792
0.100,64.360
0.100,53.979
0.100,58.824
0.100,70.588
0.100,46.021
0.100,40.484
